ACOUSTICS,,
9,University of Michigan,91.88
10,"University of California, San Diego",91.32
,,
,,
,,
BEHAVIORAL SCIENCES,,
World Rank,Institution,Score
1,University College London,100
2,University of Toronto,95.91
3,University of Oxford,92.17
4,Harvard University,91.24
5,University of Cambridge,90.52
6,"University of California, San Diego",85.68
7,"University of California, Davis",84.67
8,McGill University,84.2
9,University of Zurich,83.83
10,University of Montreal,82.7
,,
,,
,,
BIOCHEMICAL RESEARCH METHODS,,
World Rank,Institution,Score
1,Harvard University,100
2,Massachusetts Institute of Technology,91.1
3,University of Washington,87.97
4,Swiss Federal Institute of Technology in Zurich,87
5,"University of California, San Diego",86.28
6,Stanford University,86.25
7,University of Cambridge,86.13
8,University of Toronto,85.92
9,University of Michigan,85.76
10,National University of Singapore,84.38
,,
,,
,,
BIOCHEMISTRY & MOLECULAR BIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,"University of California, San Diego",88.66
3,University of Toronto,88.61
4,University of Oxford,88.59
5,University of Cambridge,88.5
6,University of Tokyo,88.29
7,University of Pennsylvania,87.99
8,University of Michigan,87.63
9,Massachusetts Institute of Technology,87.37
10,"University of California, San Francisco",87.25
,,
,,
,,
BIODIVERSITY CONSERVATION,,
World Rank,Institution,Score
1,University of Queensland,100
2,James Cook University,96.68
3,"University of California, Davis",93.32
4,University of Oxford,92.79
5,"University of California, Berkeley",91.81
6,University of Cambridge,91.53
7,Swedish University of Agricultural Sciences,90.64
8,University of British Columbia,90.02
9,University of Florida,89.55
10,Colorado State University,89.22
,,
,,
,,
BIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Cambridge,93.53
3,University of Oxford,92.79
4,University College London,87.89
5,"University of California, Berkeley",87.69
6,Stanford University,86.84
7,Imperial College London,85.85
8,Cornell University,84.69
9,"University of California, San Diego",84.28
10,"University of California, Davis",83.76
,,
,,
,,
BIOPHYSICS,,
World Rank,Institution,Score
1,University of Tokyo,100
2,Osaka University,96.89
3,Harvard University,95.73
4,Seoul National University,94.28
5,Kyoto University,93.8
6,Shanghai Jiao Tong University,88.24
6,University of Oxford,88.24
8,Yonsei University,88.15
9,Korea University,87.73
9,Tohoku University,87.73
,,
,,
,,
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,Massachusetts Institute of Technology,90.49
3,Stanford University,90.08
4,University of Washington,88.28
5,"University of California, Berkeley",87.98
6,Zhejiang University,87.77
7,Cornell University,86.71
